Feature,Importance
koi_prad,0.3021442112686886
koi_period,0.24158786078092634
koi_depth,0.09649673970764928
koi_duration,0.079204321410898
koi_insol,0.06761099778407106
koi_impact,0.060449255907517735
koi_steff,0.043986230373648814
koi_kepmag,0.04014336439063523
koi_slogg,0.03318939443325564
koi_srad,0.023950629630295792
koi_teq,0.01123699431241355
